¡ˆ¡°,¡ˆ¡°∏Ì,¿œΩ√,∆Ú±’±‚ø¬,√÷¿˙±‚ø¬,√÷∞Ì±‚ø¬,√÷¥Î «≥º”,∆Ú±’ ªÛ¥ÎΩ¿µµ
101,√·√µ,2019-12-24,-0.4,-3.5,4.2,2.4,85.9
101,√·√µ,2019-12-25,-1,-4,3,2,86.8
101,√·√µ,2019-12-26,1.2,-1.5,4.5,3.2,75.3
101,√·√µ,2019-12-27,-2.5,-7,3.3,4.6,59.3
101,√·√µ,2019-12-28,-1.5,-7.3,3.8,1.4,66
101,√·√µ,2019-12-29,0.5,-2.8,4,1.2,76.3
101,√·√µ,2019-12-30,2.2,-3.8,6.6,5.3,68.8
101,√·√µ,2019-12-31,-6.9,-10.1,-2.8,5.1,70.4
101,√·√µ,2020-01-01,-4.3,-9.3,1.3,2.3,73.4
101,√·√µ,2020-01-02,-2.5,-7.4,3.4,2.9,79
101,√·√µ,2020-01-03,-2.3,-7.6,5.7,3.1,70.1
101,√·√µ,2020-01-04,-2.3,-8.7,7.1,2.2,68.3
101,√·√µ,2020-01-05,-2.4,-8.1,4.9,1.7,71.8
101,√·√µ,2020-01-06,-0.7,-4.2,1.5,2.2,84.5
101,√·√µ,2020-01-07,4.2,1.4,6.5,4.5,95.6
101,√·√µ,2020-01-08,5,2,7.8,4.9,83.9
101,√·√µ,2020-01-09,0.2,-3.1,3.6,4.2,67.8
101,√·√µ,2020-01-10,-1.7,-5,4,2.6,80.4
101,√·√µ,2020-01-11,-1.4,-5.9,4.5,2.9,77.8
101,√·√µ,2020-01-12,-1,-4.3,3.1,3.6,69.1
101,√·√µ,2020-01-13,-2.6,-6.7,1.8,4.5,57.9
101,√·√µ,2020-01-14,-4.3,-9.3,2.6,1.9,66.3
101,√·√µ,2020-01-15,-4.3,-9.5,2.6,3.2,63.8
101,√·√µ,2020-01-16,-4.1,-8.6,3.1,1.7,67.5
101,√·√µ,2020-01-17,-2.2,-7.9,6,1.6,69.1
101,√·√µ,2020-01-18,-0.6,-6,7.1,3.1,65.4
101,√·√µ,2020-01-19,-1.2,-4.3,3,3.2,83.5
101,√·√µ,2020-01-20,-0.6,-6.1,4.9,5.6,62.3
101,√·√µ,2020-01-21,-2.5,-8.8,4.8,1.8,59.4
101,√·√µ,2020-01-22,-0.1,-3.1,5.1,2.3,59.4
101,√·√µ,2020-01-23,2,-3.9,11.2,2.4,62.4
101,√·√µ,2020-01-24,1.3,-4.9,8.9,2.7,72.4
101,√·√µ,2020-01-25,2.5,-0.8,8.3,2.6,77.9
101,√·√µ,2020-01-26,4.1,-2.1,10.5,4.7,67.6
101,√·√µ,2020-01-27,6.1,4.9,7.1,5.7,53
101,√·√µ,2020-01-28,6,0.1,10.2,4.7,59.5
101,√·√µ,2020-01-29,2,-3.2,8.3,3.5,70.6
